"","OTU","Sample","Abundance","Replicates","Treatment","Genotype","Day","Kingdom","Phylum","Class","Order","Family","Genus"
"1","3a625aba8cc8cdd34c30616d25bd3fdb","R1D2BW",0.119295579493139,1,"Wastewater_Control","CONTROL","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",NA
"2","3a625aba8cc8cdd34c30616d25bd3fdb","MBSF26",0.111694662018382,2,"Wastewater_Daphnia","LRV_12_3","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",NA
"3","3a625aba8cc8cdd34c30616d25bd3fdb","MBSF22",0.107279523004361,1,"Wastewater_Daphnia","LRV_12_3","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",NA
"4","3a625aba8cc8cdd34c30616d25bd3fdb","MBSF31",0.106603058540283,1,"Wastewater_Daphnia","LR2_36_1","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",NA
"5","3a625aba8cc8cdd34c30616d25bd3fdb","R1D3BW",0.0941815913748552,1,"Wastewater_Control","CONTROL","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",NA
"6","3a625aba8cc8cdd34c30616d25bd3fdb","MBSF4",0.0704822233126645,1,"Wastewater_Daphnia","LRV_0_1","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",NA
"7","3a625aba8cc8cdd34c30616d25bd3fdb","R3D3BW",0.0683417980932015,3,"Wastewater_Control","CONTROL","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",NA
"8","3a625aba8cc8cdd34c30616d25bd3fdb","MBSF6",0.0594649931009926,3,"Wastewater_Daphnia","LRV_0_1","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",NA
"9","3a625aba8cc8cdd34c30616d25bd3fdb","MBSF8",0.0569719861504564,2,"Wastewater_Daphnia","LRV_0_1","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",NA
"10","3a625aba8cc8cdd34c30616d25bd3fdb","MBSF7",0.0560747663551402,1,"Wastewater_Daphnia","LRV_0_1","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",NA
"11","3a625aba8cc8cdd34c30616d25bd3fdb","R2D1BW",0.0555778044764829,2,"Wastewater_Control","CONTROL","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",NA
"12","3a625aba8cc8cdd34c30616d25bd3fdb","R3D1BW",0.055083047602084,3,"Wastewater_Control","CONTROL","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",NA
"13","3a625aba8cc8cdd34c30616d25bd3fdb","MBSF16",0.0549831271091114,1,"Wastewater_Daphnia","LRV_8.5_3","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",NA
"14","3a625aba8cc8cdd34c30616d25bd3fdb","MBSF23",0.0547177365541172,2,"Wastewater_Daphnia","LRV_12_3","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",NA
"15","3a625aba8cc8cdd34c30616d25bd3fdb","MBSF5",0.053671562082777,2,"Wastewater_Daphnia","LRV_0_1","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",NA
"16","3a625aba8cc8cdd34c30616d25bd3fdb","MBSF9",0.0487426406827621,3,"Wastewater_Daphnia","LRV_0_1","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",NA
"17","3a625aba8cc8cdd34c30616d25bd3fdb","MBSF13",0.0462211118051218,1,"Wastewater_Daphnia","LRV_8.5_3","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",NA
