# Constructed from biom file
#OTU ID	Blank	MBC10S	MBC11S	MBC13S	MBC14S	MBC15S	MBC16S	MBC17S	MBC19S	MBC1S	MBC20S	MBC21S	MBC22S	MBC23S	MBC24S	MBC26S	MBC27S	MBC28S	MBC29S	MBC2S	MBC30S	MBC31S	MBC32S	MBC33S	MBC3S	MBC4S	MBC5S	MBC6S	MBC7S	MBC8S	MBC9S	MBSF1	MBSF10	MBSF11	MBSF12	MBSF13	MBSF14	MBSF15	MBSF16	MBSF17	MBSF19	MBSF2	MBSF20	MBSF22	MBSF23	MBSF24	MBSF25	MBSF26	MBSF28	MBSF3	MBSF30	MBSF31	MBSF32	MBSF4	MBSF5	MBSF6	MBSF7	MBSF8	MBSF9	R1D1BW	R1D2BW	R1D3BW	R2D1BW	R2D2BW	R2D3BW	R3D1BW	R3D2BW8532	R3D3BW
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;__	0.0	0.0	0.0	0.0	0.0	0.0012560771970267913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005636377484956966	0.004924481277962947	0.0012713282034125125	0.0009638765361782295	0.0016905530884134034	0.0011194626579241963	0.000532531999467468	0.0013593523441275978	0.0	0.0011996834877606758	0.0030629747610879687	0.003677768624220313	0.0007152415670712011	0.0041911984831853105	0.003500113313020925	0.0012763241863433313	0.0011077570688747959	0.004165826782234765	0.003488710146332009	0.001884859659905757	0.0	0.0014501685820976688	0.001920860545524395	0.001538498521599077	0.0018567306486011793	0.0015505402279048018	0.0015343421883931526	0.0017380668833885866	0.010739499820509752	0.02046350465764431	0.0062345848177582895	0.0034237618583418533	0.0031787874089006045	0.002238949186515129	0.0031759334818376303	0.0011244507490571912	0.003052417374219353
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025706451367202378	0.01369246013872624	0.0	0.0	0.0032801776342349614	0.0	0.0	0.0003624939584340261	0.0	0.0	0.0	0.0006767094268565376	0.004499100179964007	0.000823271130625686	0.00045325208370055144	0.0	0.0	0.027212255593630316	0.0007429660496818167	0.0022946117598852695	0.0019934437848852663	0.0018489649421745279	0.00505826610321424	0.0	0.0	0.00011075287342177155	0.0	0.00016093211883227654	0.02064137848510231	0.005247696286438848	0.0	0.0005230747283577832	0.0	0.00011727829072222103	0.0	0.0	0.0
d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Thermomicrobiales;f__JG30-KF-CM45;g__JG30-KF-CM45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001142508949653439	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.826644698128751e-05	0.0	0.0	0.0014604789363684436	0.0006381620931716656	0.0	0.0005711214136934758	0.0	0.0011473058799426348	0.0002214937538761407	0.0006888300764963927	0.0	0.0	0.0	0.0	0.0	0.00012874569506582124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rhodobacter	0.00028818443804034583	0.0	0.0	0.0	0.0	0.0001329964090969544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007359755765142017	0.0	0.00026504746759192327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005860607699936886	0.0	0.0	0.0	0.0	0.0	0.0	0.000723589001447178	0.0006305738221781821	0.0	0.0	0.0005046427129592249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010072268526678922	0.0013203353651827564	0.0007477360214904872	0.006719075455217362	0.0	0.0056136037697193195	0.00048728625852750954	0.0036616756697966137	0.0	0.0	0.0	0.00024611749649282565	0.0	0.0007081013228620168	0.0005085557018068685	0.0	0.0	0.0	0.0	0.00020257159306565452	0.00017644074899097947	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__uncultured	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00020580895783488975	0.0	0.0	0.000631783208104876	0.0	0.0	0.0007359755765142017	0.0	0.00031323791624500024	0.0	0.00027438606118809165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002418574653337633	0.0	0.0	0.0	0.00021019127405939406	0.0	0.0	0.0004541784416633024	0.0	0.0	0.005165538907684872	0.0	0.0	0.0	0.00020595504295633753	0.001891929306446403	0.001496856601137611	0.004985772920706066	0.005061285566533899	0.0032955772799025175	0.007962104414432574	0.0	0.005859455029707027	0.00261362629573846	0.007359605554145669	0.0014406454091432962	0.000793288300199524	0.0013298205996738176	0.0006152937412320642	0.0004512771142332802	0.002703659596382246	0.0003290654541103267	0.0	0.00011989586187996711	0.0	0.0	0.0002238949186515129	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Limnobacter	0.0071522137804558555	0.0011716865393893445	0.0001913143294432753	0.0005799743154231742	0.0	0.0039012280001773287	7.767995857068877e-05	0.000745373821175098	0.0	0.0014852220406950838	0.007410949079607937	6.769105801123671e-05	0.001873081783715472	0.005168760014472528	0.00035435861091424523	0.0002035968781812012	0.0	0.0	0.0005213335162573741	0.0	0.0002479982994402324	0.0	0.0007628620790235365	0.0008565806227572635	0.0012622847353710215	0.004329673728158343	0.0003138642394498816	0.0015241933400501175	0.00029560356874126624	0.0	0.0	0.002970523269098941	0.0024622406389814733	0.0009144641463142634	0.0014458148042673443	0.0055510698425514735	0.005943813636121328	0.009024515490975485	0.004893668438859352	0.01670407560543414	0.02220690711386783	0.00290982602303357	0.0017653289396257503	0.004176087859351207	0.00967967268735655	0.007579382066325888	0.015073828752503135	0.08385721011382204	0.0009742659410065175	0.0028749555835513776	0.0	0.003233808806591654	0.0047493021063698656	0.011493148930720964	0.03336618668717998	0.02205494919081671	0.03835741182840688	0.04079545112668853	0.037979980044417265	0.0016752423118343903	0.002761945413915183	0.02152987119758838	0.0012125823248294062	0.0023259420065126378	0.002196302535343412	0.0014776912727994531	0.0005016780265024392	0.008525717493509227
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__NS9_marine_group;g__NS9_marine_group	0.0	0.0	0.0	0.0	0.0	0.0003251023333481107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004570035798613756	0.0	0.00013382402141184343	0.0	0.0005803391199031086	0.00023988485526947067	0.0003518514996481485	0.0010874818753020784	0.0006615475487300649	0.0011486331265793705	0.0	0.0	0.00016150616030640027	0.0001496856601137611	0.0006798781255508272	0.0003520894307154017	0.00036002104738430864	0.00043673990458912855	0.0001615143586264819	0.0003278016799836099	0.0	0.0003262879309719755	0.0003201434242540658	0.00024039039399985577	0.00012545477355413375	0.00020919987201890183	0.00012034056379554138	0.0	8.974512384827091e-05	0.0002259773520476059	0.00015415182241710056	0.0	0.0	4.264665117171674e-05	0.0	0.0003805833304501263	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Pleomorphomonadaceae;g__Prosthecomicrobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003002732486562772	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00027693926721869896	0.0010750520728347779	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Haliscomenobacter	0.0	0.0	0.0	0.0	0.0	4.433213636565146e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003046690532409171	0.00024021859892502177	0.0	0.0	0.0007569640694388373	0.0	0.0	0.0016312228129531175	0.00014176018901358535	0.00030630216708783217	0.0	0.00017653289396257502	0.00011536154307600018	0.00039916176030336295	0.0045577015083222115	0.0036309222542525803	0.0025201473316901605	0.005207283477793456	0.0	0.002458512599877074	0.0006201825108531939	0.003407896167929522	0.0	0.0	0.0	0.00024611749649282565	0.0	0.0005793556277961956	0.0008077061146344382	0.0	0.0002911756645656344	0.00011888062008131434	0.0	0.0004371281745100966	0.00015438565536710704	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;__	0.0007597589730154572	0.17613205596526293	0.003300172182896499	0.01690210862090393	0.048459563543003854	0.021471531379763858	0.003288451579492491	0.026639012217649156	0.008232358313395591	0.0079459379177187	0.04099928281137939	0.0006769105801123672	0.008620689655172414	0.06740063058872177	0.001608242926456959	0.00332541567695962	0.0	0.008720557431710341	0.0020853340650294964	0.11577535624476111	0.03340891376744845	0.010245393704040321	0.004936166393681707	0.005347841185322375	0.0365611757280678	0.004762641100974177	0.00784660598624704	0.02035702291456767	0.0036816080834139527	0.002957136759953661	0.003190176663556746	0.018622895879351054	0.011530492748401044	0.024445187911230067	0.018116497623168085	0.0178391199031086	0.012447358601204755	0.011012000988987998	0.05313557274045433	0.014010632014176018	0.02504020215943028	0.015131095319774565	0.010680240084735788	0.00602187254856721	0.008956191996806705	0.1623397879787475	0.23209295160970886	0.03470049018250298	0.025330914466169457	0.017701973705462417	0.030485556238475722	0.011827766456985913	0.037523112061777185	0.032558586246638495	0.07793456573475324	0.08598670179400326	0.1432896064581231	0.22837630494298866	0.22839486304676687	0.0022436280962067727	0.0009039094081904236	0.0017641819676623733	0.0010699255807318292	0.0005168760014472528	0.0015992494189393778	0.0003969916852297038	0.016261287755596304	0.0
