"","OTU","Sample","Abundance","Replicates","Treatment","Genotype","Day","Kingdom","Phylum","Class","Order","Family","Genus"
"1","6921163bc1cdcfcd3049c88d5c53e458","R1D1BW",0.395935300424183,1,"Wastewater_Control","CONTROL","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"2","6921163bc1cdcfcd3049c88d5c53e458","MBSF10",0.28517215845983,1,"Wastewater_Daphnia","LRV_8.5_3","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"3","6921163bc1cdcfcd3049c88d5c53e458","MBSF1",0.224743638435245,1,"Wastewater_Daphnia","LRV_0_1","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"4","6921163bc1cdcfcd3049c88d5c53e458","MBSF28",0.118019861270522,1,"Wastewater_Daphnia","LR2_36_1","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"5","6921163bc1cdcfcd3049c88d5c53e458","MBSF4",0.025,1,"Wastewater_Daphnia","LRV_0_1","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"6","6921163bc1cdcfcd3049c88d5c53e458","MBSF13",0.0108596041055718,1,"Wastewater_Daphnia","LRV_8.5_3","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"7","6921163bc1cdcfcd3049c88d5c53e458","MBSF3",0.0093806042212719,3,"Wastewater_Daphnia","LRV_0_1","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"8","6921163bc1cdcfcd3049c88d5c53e458","MBSF31",0.00822764671121415,1,"Wastewater_Daphnia","LR2_36_1","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"9","6921163bc1cdcfcd3049c88d5c53e458","MBSF22",0.0080399727458551,1,"Wastewater_Daphnia","LRV_12_3","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"10","6921163bc1cdcfcd3049c88d5c53e458","MBSF6",0.0078740157480315,3,"Wastewater_Daphnia","LRV_0_1","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"11","6921163bc1cdcfcd3049c88d5c53e458","R3D1BW",0.00751913350937654,3,"Wastewater_Control","CONTROL","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"12","6921163bc1cdcfcd3049c88d5c53e458","R2D1BW",0.00649350649350649,2,"Wastewater_Control","CONTROL","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"13","6921163bc1cdcfcd3049c88d5c53e458","MBSF26",0.00631588944819071,2,"Wastewater_Daphnia","LRV_12_3","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"14","6921163bc1cdcfcd3049c88d5c53e458","R1D2BW",0.00607455131155085,1,"Wastewater_Control","CONTROL","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"15","6921163bc1cdcfcd3049c88d5c53e458","MBSF30",0.00554625866602917,3,"Wastewater_Daphnia","LR2_36_1","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"16","6921163bc1cdcfcd3049c88d5c53e458","R2D3BW",0.00403623643376088,2,"Wastewater_Control","CONTROL","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"17","6921163bc1cdcfcd3049c88d5c53e458","R2D2BW",0.00375318350386489,2,"Wastewater_Control","CONTROL","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"18","6921163bc1cdcfcd3049c88d5c53e458","MBSF2",0.00358797347624671,2,"Wastewater_Daphnia","LRV_0_1","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"19","6921163bc1cdcfcd3049c88d5c53e458","MBSF32",0.0035204475308642,2,"Wastewater_Daphnia","LR2_36_1","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"20","6921163bc1cdcfcd3049c88d5c53e458","MBSF16",0.00333494441759304,1,"Wastewater_Daphnia","LRV_8.5_3","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"21","6921163bc1cdcfcd3049c88d5c53e458","MBSF20",0.00312217194570136,2,"Wastewater_Daphnia","LRV_12_3","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"22","6921163bc1cdcfcd3049c88d5c53e458","R3D3BW",0.00295394530725507,3,"Wastewater_Control","CONTROL","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"23","6921163bc1cdcfcd3049c88d5c53e458","MBSF23",0.00212631197973218,2,"Wastewater_Daphnia","LRV_12_3","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"24","6921163bc1cdcfcd3049c88d5c53e458","MBSF5",0.0020980727006587,2,"Wastewater_Daphnia","LRV_0_1","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"25","6921163bc1cdcfcd3049c88d5c53e458","R1D3BW",0.00180188296770125,1,"Wastewater_Control","CONTROL","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"26","6921163bc1cdcfcd3049c88d5c53e458","MBSF24",0.00161821649424955,3,"Wastewater_Daphnia","LRV_12_3","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"27","6921163bc1cdcfcd3049c88d5c53e458","MBSF25",0.00116158219722443,1,"Wastewater_Daphnia","LRV_12_3","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"28","6921163bc1cdcfcd3049c88d5c53e458","MBSF9",0.000785261250377529,3,"Wastewater_Daphnia","LRV_0_1","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"29","6921163bc1cdcfcd3049c88d5c53e458","MBSF8",0.000768003780941691,2,"Wastewater_Daphnia","LRV_0_1","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"30","6921163bc1cdcfcd3049c88d5c53e458","MBSF7",0.000529212531752752,1,"Wastewater_Daphnia","LRV_0_1","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"31","5d81b46613a582d1a94fa803c90e44fe","MBSF15",0.245872801082544,3,"Wastewater_Daphnia","LRV_8.5_3","D2","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"32","5d81b46613a582d1a94fa803c90e44fe","MBSF14",0.10183888311571,2,"Wastewater_Daphnia","LRV_8.5_3","D2","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"33","5d81b46613a582d1a94fa803c90e44fe","MBSF19",0.0826138240150979,1,"Wastewater_Daphnia","LRV_12_3","D1","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"34","5d81b46613a582d1a94fa803c90e44fe","MBSF11",0.0743434897977857,2,"Wastewater_Daphnia","LRV_8.5_3","D1","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
