Sample_ID,Condition,Day
MBSF1,Wastewater_Daphnia,D1
MBSF2,Wastewater_Daphnia,D1
MBSF3,Wastewater_Daphnia,D1
MBSF4,Wastewater_Daphnia,D2
MBSF5,Wastewater_Daphnia,D2
MBSF6,Wastewater_Daphnia,D2
MBSF7,Wastewater_Daphnia,D3
MBSF8,Wastewater_Daphnia,D3
MBSF9,Wastewater_Daphnia,D3
R1D1BW,Wastewater_Control,D1
R2D1BW,Wastewater_Control,D1
R3D1BW,Wastewater_Control,D1
R1D2BW,Wastewater_Control,D2
R2D2BW,Wastewater_Control,D2
R3D2BW8532,Wastewater_Control,D2
R1D3BW,Wastewater_Control,D3
R2D3BW,Wastewater_Control,D3
R3D3BW,Wastewater_Control,D3
