"","OTU","Sample","Abundance","Genotype","Day","Treatment","SampleVolume","Kingdom","Phylum","Class","Order","Family","Genus"
"1","3985c3e705e48e20bd56aea8baa559a8","R3D3BW",0.053384142078031,"CONTROL","D3","Wastewater_Control",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","C39"
"2","3985c3e705e48e20bd56aea8baa559a8","R1D2BW",0.0515378221113882,"CONTROL","D2","Wastewater_Control",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","C39"
"3","3985c3e705e48e20bd56aea8baa559a8","R3D1BW",0.0371856883125793,"CONTROL","D1","Wastewater_Control",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","C39"
"4","3985c3e705e48e20bd56aea8baa559a8","R2D2BW",0.0370951779681261,"CONTROL","D2","Wastewater_Control",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","C39"
"5","3985c3e705e48e20bd56aea8baa559a8","R2D1BW",0.035616532092514,"CONTROL","D1","Wastewater_Control",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","C39"
"6","3985c3e705e48e20bd56aea8baa559a8","R2D3BW",0.0258188824662813,"CONTROL","D3","Wastewater_Control",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","C39"
"7","3985c3e705e48e20bd56aea8baa559a8","R1D3BW",0.0257233604411713,"CONTROL","D3","Wastewater_Control",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","C39"
"8","3985c3e705e48e20bd56aea8baa559a8","MBSF3",0.0251487673561916,"LRV_0_1","D1","Wastewater_Daphnia",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","C39"
"9","3985c3e705e48e20bd56aea8baa559a8","MBSF2",0.0248408308109801,"LRV_0_1","D1","Wastewater_Daphnia",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","C39"
"10","3985c3e705e48e20bd56aea8baa559a8","MBSF6",0.0189526382708201,"LRV_0_1","D2","Wastewater_Daphnia",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","C39"
"11","3985c3e705e48e20bd56aea8baa559a8","MBSF1",0.0153253724376677,"LRV_0_1","D1","Wastewater_Daphnia",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","C39"
"12","3985c3e705e48e20bd56aea8baa559a8","R1D1BW",0.0149868436105709,"CONTROL","D1","Wastewater_Control",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","C39"
"13","3985c3e705e48e20bd56aea8baa559a8","MBSF4",0.0142456795889771,"LRV_0_1","D2","Wastewater_Daphnia",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","C39"
"14","3985c3e705e48e20bd56aea8baa559a8","MBSF5",0.00626971305485037,"LRV_0_1","D2","Wastewater_Daphnia",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","C39"
"15","3985c3e705e48e20bd56aea8baa559a8","MBSF9",0.0046537092800438,"LRV_0_1","D3","Wastewater_Daphnia",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","C39"
"16","3985c3e705e48e20bd56aea8baa559a8","MBSF7",0.00433597067632202,"LRV_0_1","D3","Wastewater_Daphnia",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","C39"
"17","3985c3e705e48e20bd56aea8baa559a8","MBSF8",0.00297949702050298,"LRV_0_1","D3","Wastewater_Daphnia",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","C39"
"18","aee8feac864a07a2942dddaaa2a3872d","R1D1BW",0.386759714754223,"CONTROL","D1","Wastewater_Control",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"19","aee8feac864a07a2942dddaaa2a3872d","MBSF1",0.215916605079933,"LRV_0_1","D1","Wastewater_Daphnia",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"20","aee8feac864a07a2942dddaaa2a3872d","MBSF4",0.0351471275105091,"LRV_0_1","D2","Wastewater_Daphnia",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"21","aee8feac864a07a2942dddaaa2a3872d","MBSF6",0.0187937062937063,"LRV_0_1","D2","Wastewater_Daphnia",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"22","aee8feac864a07a2942dddaaa2a3872d","MBSF3",0.0156559931992066,"LRV_0_1","D1","Wastewater_Daphnia",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"23","aee8feac864a07a2942dddaaa2a3872d","R1D2BW",0.00886672208367969,"CONTROL","D2","Wastewater_Control",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"24","aee8feac864a07a2942dddaaa2a3872d","MBSF2",0.00807153045959016,"LRV_0_1","D1","Wastewater_Daphnia",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"25","aee8feac864a07a2942dddaaa2a3872d","R3D1BW",0.00686082810195191,"CONTROL","D1","Wastewater_Control",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"26","aee8feac864a07a2942dddaaa2a3872d","R2D1BW",0.00663747091829752,"CONTROL","D1","Wastewater_Control",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"27","aee8feac864a07a2942dddaaa2a3872d","MBSF5",0.00653896453573352,"LRV_0_1","D2","Wastewater_Daphnia",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"28","aee8feac864a07a2942dddaaa2a3872d","MBSF8",0.00641349358650641,"LRV_0_1","D3","Wastewater_Daphnia",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"29","aee8feac864a07a2942dddaaa2a3872d","MBSF9",0.00618669586641117,"LRV_0_1","D3","Wastewater_Daphnia",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"30","aee8feac864a07a2942dddaaa2a3872d","R1D3BW",0.00404872430281666,"CONTROL","D3","Wastewater_Control",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"31","aee8feac864a07a2942dddaaa2a3872d","MBSF7",0.00393366411872514,"LRV_0_1","D3","Wastewater_Daphnia",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"32","aee8feac864a07a2942dddaaa2a3872d","R2D2BW",0.00375388185510016,"CONTROL","D2","Wastewater_Control",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
