"Genus","Genotype","Day","Mean_Abundance","SE_Abundance"
"uncultured","CONTROL","D1","0.3055","0.0873"
"other","CONTROL","D1","0.1586","0.0387"
"Curvibacter","CONTROL","D1","0.1348","0.1278"
"Sphingorhabdus","CONTROL","D1","0.1158","0.0240"
"Pseudarcicella","CONTROL","D1","0.0960","0.0237"
"Limnohabitans","CONTROL","D1","0.0698","0.0053"
"Polynucleobacter","CONTROL","D1","0.0475","0.0068"
"Flavobacterium","CONTROL","D1","0.0233","0.0100"
"Acidovorax","CONTROL","D1","0.0181","0.0052"
"Zoogloea","CONTROL","D1","0.0100","0.0021"
"NS11-12_marine_group","CONTROL","D1","0.0097","0.0047"
"Sphingobium","CONTROL","D1","0.0041","0.0021"
"Pseudomonas","CONTROL","D1","0.0031","0.0003"
"Fluviicola","CONTROL","D1","0.0025","0.0011"
"Sediminibacterium","CONTROL","D1","0.0010","0.0006"
"Nevskia","CONTROL","D1","0.0002","0.0001"
"Pseudarcicella","CONTROL","D2","0.1921","0.0793"
"uncultured","CONTROL","D2","0.1634","0.1232"
"Sphingobium","CONTROL","D2","0.1324","0.1303"
"other","CONTROL","D2","0.1300","0.0236"
"Sphingorhabdus","CONTROL","D2","0.1165","0.0519"
"Limnohabitans","CONTROL","D2","0.0831","0.0328"
"Sediminibacterium","CONTROL","D2","0.0822","0.0818"
"Polynucleobacter","CONTROL","D2","0.0802","0.0390"
"Pseudomonas","CONTROL","D2","0.0463","0.0447"
"Acidovorax","CONTROL","D2","0.0443","0.0285"
"Flavobacterium","CONTROL","D2","0.0195","0.0101"
"NS11-12_marine_group","CONTROL","D2","0.0106","0.0100"
"Curvibacter","CONTROL","D2","0.0049","0.0011"
"Zoogloea","CONTROL","D2","0.0044","0.0025"
"Nevskia","CONTROL","D2","0.0015","NA"
"Fluviicola","CONTROL","D2","0.0013","0.0011"
"uncultured","CONTROL","D3","0.2829","0.0922"
"Sphingorhabdus","CONTROL","D3","0.2005","0.0699"
"other","CONTROL","D3","0.1320","0.0179"
"Pseudarcicella","CONTROL","D3","0.1313","0.0303"
"Limnohabitans","CONTROL","D3","0.1039","0.0175"
