"","Replicate","sample.id","Genotype","Day","Treatment","input","filtered","reads_passed-filter","denoised","merged","percentage_merged","non-chimeric","percentage_non-chimeric"
"1",1,"MBSF1","LRV_0_1","D1","Wastewater_Daphnia","105573","76884","72.83","74441","59721","56.57","26530","25.13"
"2",2,"MBSF2","LRV_0_1","D1","Wastewater_Daphnia","99955","76382","76.42","74882","66814","66.84","32731","32.75"
"3",3,"MBSF3","LRV_0_1","D1","Wastewater_Daphnia","97507","75006","76.92","73386","63913","65.55","31644","32.45"
"4",1,"MBSF4","LRV_0_1","D2","Wastewater_Daphnia","103031","72747","70.61","71265","59907","58.14","31334","30.41"
"5",2,"MBSF5","LRV_0_1","D2","Wastewater_Daphnia","122439","86799","70.89","85287","75099","61.34","41632","34"
"6",3,"MBSF6","LRV_0_1","D2","Wastewater_Daphnia","127287","92782","72.89","91151","77970","61.26","39976","31.41"
"7",1,"MBSF7","LRV_0_1","D3","Wastewater_Daphnia","266548","174409","65.43","171815","149097","55.94","81559","30.6"
"8",2,"MBSF8","LRV_0_1","D3","Wastewater_Daphnia","106935","70116","65.57","68636","57821","54.07","33332","31.17"
"9",3,"MBSF9","LRV_0_1","D3","Wastewater_Daphnia","114611","76606","66.84","74464","60947","53.18","31316","27.32"
"10",1,"MBSF10","LRV_8.5_3","D1","Wastewater_Daphnia","128403","93593","72.89","91461","77146","60.08","33472","26.07"
"11",2,"MBSF11","LRV_8.5_3","D1","Wastewater_Daphnia","110967","86464","77.92","85164","77321","69.68","44937","40.5"
"12",3,"MBSF12","LRV_8.5_3","D1","Wastewater_Daphnia","119360","90839","76.11","89589","79560","66.66","45725","38.31"
"13",1,"MBSF13","LRV_8.5_3","D2","Wastewater_Daphnia","129881","96224","74.09","93678","80978","62.35","39802","30.64"
"14",2,"MBSF14","LRV_8.5_3","D2","Wastewater_Daphnia","96568","86286","89.35","84711","72497","75.07","37656","38.99"
"15",3,"MBSF15","LRV_8.5_3","D2","Wastewater_Daphnia","265830","205761","77.4","203690","182166","68.53","105309","39.62"
"16",1,"MBSF16","LRV_8.5_3","D3","Wastewater_Daphnia","118384","79488","67.14","77737","66584","56.24","33572","28.36"
"17",2,"MBSF17","LRV_8.5_3","D3","Wastewater_Daphnia","114065","94285","82.66","92401","79130","69.37","42579","37.33"
"18",1,"MBSF19","LRV_12_3","D1","Wastewater_Daphnia","121881","72189","59.23","71078","63399","52.02","40485","33.22"
"19",2,"MBSF20","LRV_12_3","D1","Wastewater_Daphnia","119895","87956","73.36","85916","74006","61.73","34085","28.43"
"20",1,"MBSF22","LRV_12_3","D2","Wastewater_Daphnia","123142","88199","71.62","86830","78549","63.79","43455","35.29"
"21",2,"MBSF23","LRV_12_3","D2","Wastewater_Daphnia","115392","80058","69.38","78702","69353","60.1","40214","34.85"
