"","Replicate","sample.id","Genotype","Day","Treatment","non-chimeric"
"1",1,"MBSF1","LRV_0_1","D1","Wastewater_Daphnia","26530"
"2",2,"MBSF2","LRV_0_1","D1","Wastewater_Daphnia","32731"
"3",3,"MBSF3","LRV_0_1","D1","Wastewater_Daphnia","31644"
"4",1,"MBSF4","LRV_0_1","D2","Wastewater_Daphnia","31334"
"5",2,"MBSF5","LRV_0_1","D2","Wastewater_Daphnia","41632"
"6",3,"MBSF6","LRV_0_1","D2","Wastewater_Daphnia","39976"
"7",1,"MBSF7","LRV_0_1","D3","Wastewater_Daphnia","81559"
"8",2,"MBSF8","LRV_0_1","D3","Wastewater_Daphnia","33332"
"9",3,"MBSF9","LRV_0_1","D3","Wastewater_Daphnia","31316"
"10",1,"MBSF10","LRV_8.5_3","D1","Wastewater_Daphnia","33472"
"11",2,"MBSF11","LRV_8.5_3","D1","Wastewater_Daphnia","44937"
"12",3,"MBSF12","LRV_8.5_3","D1","Wastewater_Daphnia","45725"
"13",1,"MBSF13","LRV_8.5_3","D2","Wastewater_Daphnia","39802"
"14",2,"MBSF14","LRV_8.5_3","D2","Wastewater_Daphnia","37656"
"15",3,"MBSF15","LRV_8.5_3","D2","Wastewater_Daphnia","105309"
"16",1,"MBSF16","LRV_8.5_3","D3","Wastewater_Daphnia","33572"
"17",2,"MBSF17","LRV_8.5_3","D3","Wastewater_Daphnia","42579"
"18",1,"MBSF19","LRV_12_3","D1","Wastewater_Daphnia","40485"
"19",2,"MBSF20","LRV_12_3","D1","Wastewater_Daphnia","34085"
"20",1,"MBSF22","LRV_12_3","D2","Wastewater_Daphnia","43455"
"21",2,"MBSF23","LRV_12_3","D2","Wastewater_Daphnia","40214"
"22",3,"MBSF24","LRV_12_3","D2","Wastewater_Daphnia","40778"
"23",1,"MBSF25","LRV_12_3","D3","Wastewater_Daphnia","46077"
"24",2,"MBSF26","LRV_12_3","D3","Wastewater_Daphnia","36583"
"25",1,"MBSF28","LR2_36_1","D1","Wastewater_Daphnia","30802"
"26",3,"MBSF30","LR2_36_1","D1","Wastewater_Daphnia","24844"
"27",1,"MBSF31","LR2_36_1","D2","Wastewater_Daphnia","22676"
"28",2,"MBSF32","LR2_36_1","D2","Wastewater_Daphnia","27859"
"29",1,"MBC1S","LRV_0_1","D1","Control_Daphnia","27124"
"30",2,"MBC2S","LRV_0_1","D1","Control_Daphnia","29936"
"31",3,"MBC3S","LRV_0_1","D1","Control_Daphnia","22629"
"32",1,"MBC4S","LRV_0_1","D2","Control_Daphnia","32510"
"33",2,"MBC5S","LRV_0_1","D2","Control_Daphnia","35512"
"34",3,"MBC6S","LRV_0_1","D2","Control_Daphnia","38856"
"35",1,"MBC7S","LRV_0_1","D3","Control_Daphnia","37335"
"36",2,"MBC8S","LRV_0_1","D3","Control_Daphnia","32825"
"37",3,"MBC9S","LRV_0_1","D3","Control_Daphnia","33327"
"38",1,"MBC10S","LRV_8.5_3","D1","Control_Daphnia","29158"
"39",2,"MBC11S","LRV_8.5_3","D1","Control_Daphnia","21735"
"40",1,"MBC13S","LRV_8.5_3","D2","Control_Daphnia","48320"
"41",2,"MBC14S","LRV_8.5_3","D2","Control_Daphnia","37988"
"42",3,"MBC15S","LRV_8.5_3","D2","Control_Daphnia","67908"
"43",1,"MBC16S","LRV_8.5_3","D3","Control_Daphnia","38697"
"44",2,"MBC17S","LRV_8.5_3","D3","Control_Daphnia","30930"
"45",1,"MBC19S","LRV_12_3","D1","Control_Daphnia","38942"
"46",2,"MBC20S","LRV_12_3","D1","Control_Daphnia","33776"
"47",3,"MBC21S","LRV_12_3","D1","Control_Daphnia","44482"
"48",1,"MBC22S","LRV_12_3","D2","Control_Daphnia","44423"
"49",2,"MBC23S","LRV_12_3","D2","Control_Daphnia","19612"
"50",3,"MBC24S","LRV_12_3","D2","Control_Daphnia","36904"
"51",2,"MBC26S","LRV_12_3","D3","Control_Daphnia","44453"
"52",3,"MBC27S","LRV_12_3","D3","Control_Daphnia","41959"
"53",1,"MBC28S","LR2_36_1","D1","Control_Daphnia","23730"
"54",2,"MBC29S","LR2_36_1","D1","Control_Daphnia","36689"
"55",3,"MBC30S","LR2_36_1","D1","Control_Daphnia","28699"
"56",1,"MBC31S","LR2_36_1","D2","Control_Daphnia","48436"
"57",2,"MBC32S","LR2_36_1","D2","Control_Daphnia","44644"
"58",3,"MBC33S","LR2_36_1","D2","Control_Daphnia","43419"
"59",1,"R1D1BW","CONTROL","D1","Wastewater_Control","33779"
"60",2,"R2D1BW","CONTROL","D1","Wastewater_Control","42132"
"61",3,"R3D1BW","CONTROL","D1","Wastewater_Control","45423"
"62",1,"R1D2BW","CONTROL","D2","Wastewater_Control","40201"
"63",2,"R2D2BW","CONTROL","D2","Wastewater_Control","38761"
"64",3,"R3D2BW8532","CONTROL","D2","Wastewater_Control","58084"
"65",1,"R1D3BW","CONTROL","D3","Wastewater_Control","58720"
"66",2,"R2D3BW","CONTROL","D3","Wastewater_Control","94331"
"67",3,"R3D3BW","CONTROL","D3","Wastewater_Control","28511"
